member_id,full_date,year,month,day,day_of_week,purchase_id
1664,2014-01-10,2014,1,10,4,8a0ebee9-5fca-4c67-af3a-b6b18700b517
3942,2014-12-16,2014,12,16,1,b8b399c0-0717-4bb9-9ada-55247b5ffd88
2638,2014-10-10,2014,10,10,4,51bab8b5-fa4b-4969-a01d-35e97e3cb0ef
4735,2014-10-10,2014,10,10,4,70407fce-16a0-4bdc-a7e1-aa91832045e2
3745,2014-09-12,2014,9,12,4,056f19ff-4cb8-437b-b8ca-e2a11432a298
1817,2014-11-15,2014,11,15,5,9435b451-739c-4e5e-95d7-f2c1965a5db9
2864,2014-10-16,2014,10,16,3,58f95e23-52fd-4ea3-8bb1-c11fc3f16897
1748,2014-08-14,2014,8,14,3,e27fc3ca-3ea3-4de6-acf3-8c30f72ffca6
3360,2014-08-30,2014,8,30,5,8515c422-bace-48bb-bd1a-85bfd4f27cd7
1849,2014-06-10,2014,6,10,1,b1f82dc7-83a8-4d74-bc3d-076cfabec27d
3438,2014-11-06,2014,11,6,3,c9a16b93-4d37-4eec-a79b-33551f47d369
4594,2014-05-28,2014,5,28,2,5b1ba89d-7181-49c5-a023-3093130ceb52
1632,2014-02-16,2014,2,16,6,63eea353-58a6-415a-9e71-58943a8858c0
4297,2014-08-29,2014,8,29,4,9ea1eac1-e2a9-4584-8d86-7775869b40fe
4539,2014-04-14,2014,4,14,0,1d9e3788-70c3-4780-beef-79179ef35cdb
4762,2014-06-25,2014,6,25,2,4fc85b6a-c328-4665-9ab6-a0ba7d649606
4153,2014-02-14,2014,2,14,4,ef27a8c5-707e-4cc6-a76c-8e0fa913dcfb
1500,2014-06-20,2014,6,20,4,d3ce2650-7a41-4ed2-9dd9-2a8649721f76
1895,2014-07-22,2014,7,22,1,125359e6-465f-4f6f-9e71-cfddf6c99fa4
1466,2014-03-02,2014,3,2,6,a0bfbc49-b013-404a-8cfe-35fb592dd9bb
2233,2014-04-24,2014,4,24,3,b9a1163a-bbaf-42f3-b0d7-681b1a908497
3057,2014-01-28,2014,1,28,1,6e5d0bb2-7d48-49f3-a254-9fc57adff98b
3308,2014-08-21,2014,8,21,3,1e6fe0f2-95dd-48d6-b4ed-eee546d643df
3241,2014-08-01,2014,8,1,4,64ea1f08-8856-4f15-b7cd-56e03df1dce2
1947,2014-02-27,2014,2,27,3,7b9ca81a-9a8e-4da3-9d6d-61f676f887dc
2589,2014-04-10,2014,4,10,3,c2e5a290-34a9-4900-8069-df5dee2d0c4b
3127,2014-02-25,2014,2,25,1,d553d657-5c21-450c-a5ca-11003a906376
