MemberID,FullDate,DayofWeek,PurchaseID
1808,2020-07-21,1,f4bc7e1d-c685-47fd-ab40-8bec5646443c
2552,2020-05-01,4,fd9a9e25-b778-4d49-ad5d-e0ba69185b9f
2300,2020-09-19,5,3debee1f-f040-4025-a14d-e41184998edd
1187,2020-12-12,5,773936c9-e3d6-4599-856e-fc95cce3dabe
3037,2020-01-02,4,7618f3e4-1480-43dc-a4e0-003a947ade28
4941,2020-02-14,5,d63b67ed-3525-43bd-86c6-fb1faf8ea6d3
4501,2020-08-05,2,9c0e58d8-a2bf-4a9f-98b8-4fc2d3d7e565
3803,2020-12-23,2,3814d17c-8977-4077-b39c-ffd3e0803c68
2762,2020-03-20,4,5d2d9004-1f0d-4dfb-a72e-a198e47c7070
4119,2020-12-02,2,efc74608-263d-4234-ac94-93febd2902dc
1340,2020-02-24,1,cb8238ca-aadc-4322-a683-9cae739fe48d
2193,2020-04-14,1,3857d73d-e50e-4c63-b15f-487b22cea061
1997,2020-07-21,1,d0267d33-07e0-44fe-8025-04bdf4774986
4546,2020-03-09,0,8cc139ef-51e4-4792-a8ab-abf28d762b85
4736,2020-07-21,1,2706a445-5485-4766-acc1-92e59f4ca024
1959,2020-03-30,0,825a5584-891c-494f-b884-4fea1637d7bd
1974,2020-03-05,3,5b6ffd47-e9b2-4914-a516-0ef8e6c2ac1f
2421,2020-02-09,0,cec9e270-7c4d-45c2-a6de-401bbd392a58
1513,2020-03-08,6,9e5392c8-eaa6-4b44-a80d-9468b4cbe4d6
1905,2020-07-07,1,95f108e4-0b9f-4b1c-937a-e47880e2404c
2810,2020-08-09,6,efb589e4-0ecb-485d-857d-f7e50c446bec
2867,2020-12-11,4,f143a0b0-ed0d-47b0-bfab-5f5141d544b2
3962,2020-09-18,4,818970e8-6049-4d30-877b-50c3b1c1e28d
1088,2020-11-30,0,388bd9ce-7577-4731-b9bb-2d0e0b47807d
4976,2020-07-17,4,aaec5f88-6f49-43e1-bc97-add8a58e8c2f
4056,2020-12-06,6,d9f8d4b4-a60b-43a6-8f26-7b7db5ba2328
3611,2020-02-13,4,efc9289f-2fd6-4f10-908b-3cf80015fe97
1420,2020-01-14,2,096c8020-fc84-479f-ac0f-cc1001ac3203
4286,2020-08-03,0,d7733257-d9ee-476e-ad1d-3fc01f147eb5
4918,2020-01-27,1,f5ab1564-01b8-4632-b49e-0082739506d5
4783,2020-10-22,3,d86b68d6-394d-4027-a2a0-8798fec4d8ff
3709,2020-10-26,0,2e14b6c2-4e26-4ad2-a04a-4c0422009c1a
4289,2020-08-10,0,6db047e1-99d7-4a42-afca-6084dc71dfc5
1559,2020-03-10,1,efd73181-08ff-4f54-a3b1-e0ecd0a2f115
2900,2020-11-04,2,d4adeec8-a1ac-410e-9a96-fa2266ba3bba
1905,2020-02-21,5,0c62c7cf-2745-432c-9a91-cb02c832e040
3527,2020-09-29,1,e24cc6f4-9a4e-4516-ab85-a67298b86f9c
1495,2020-09-01,1,8d591aad-9561-4e0c-8cf1-087b0c191b6a
3558,2020-03-04,2,accc760b-5a20-460a-8d34-9a4ae081fff0
3128,2020-04-20,0,9bb56f46-d981-4d09-8f09-ee02e2cc427d
1863,2020-04-08,2,06e0d3ce-e76b-420f-8878-f915eee026e0
3841,2020-07-19,6,b132d3c9-cc1d-4d60-a6d8-e9b646ab5856
3903,2020-06-10,2,44050de3-209e-482e-831f-7f6fc1f6ff01
2658,2020-10-16,4,e4ed9ff0-bf74-4b39-9e89-7ce4996a9ebe
4272,2020-06-06,5,c910c835-ea61-4e0f-8eed-7143177c1ecf
1120,2020-09-26,5,c3e4b5c9-f887-4049-9739-868153010b23
2676,2020-08-15,5,4b8b3197-c4e8-455c-b4f7-b32fcf04a766
1697,2020-05-21,3,4c5b840b-87dd-46cf-bb1b-777eb1396195
2507,2020-08-25,1,8e67fba3-ebb8-4d70-8332-5ae1e61b8030
4620,2020-11-03,1,e6777390-fd08-43b1-b928-bba07f439800
3365,2020-01-02,4,a5ed45ed-ae80-4ee4-af28-3b66075d9579
2978,2020-05-06,2,50ad54bd-e062-4c48-8b2d-13cd3a1c4cd8
2910,2020-07-28,1,e98caec5-0da5-4d2a-b54b-5a4780d5e3ca
1061,2020-05-09,5,1df7b093-1be3-4a2c-a662-f68ff809462a
3276,2020-03-04,2,1b64594e-b8ce-4467-a734-b0586a067a4c
1326,2020-06-19,4,82a8dbda-ef79-41eb-aead-33cc9f85bcfa
3023,2020-07-28,1,b3903ac0-16fd-4e92-92b4-85ad7010623f
2185,2020-11-10,1,d21afbb1-2c59-4966-8c67-e490c9f3794e
3552,2020-06-16,1,2276d83f-d2c4-41ca-835b-21e4543cd3c2
1967,2020-01-20,1,854130c7-9029-4215-8052-fb35a02ae9c6
4708,2020-03-20,4,2432a416-7b6c-4e30-bdc8-f0fb4bb0a988
2874,2020-02-15,6,43a1542f-c85d-43dd-bac0-86dfaf7eddb0
4177,2020-04-13,0,49fdc2c7-cd7f-4544-bd8e-63a0fdebbcdb
1663,2020-07-02,3,37a9c97e-3fe8-42be-92b4-90d23adbb170
2632,2020-02-03,1,ff4df65a-1a28-419b-9b7c-ef6e293fef38
1377,2020-03-14,5,a4aaa5da-5167-4ff8-a7b3-8e42da22874f
4162,2020-12-22,1,151da259-9939-44f9-b00d-fb5da34c72cb
2270,2020-01-07,2,f7699b08-6c8b-4854-8c0e-251c09cc0552
4829,2020-03-11,2,fcf5d093-a611-41ee-86f2-2eaa2f7508ea
3811,2020-04-14,1,31f13c9b-cc77-408e-80d9-94cc6fd5f69f
4766,2020-09-29,1,711657c2-c809-4546-934c-6628210b986c
2436,2020-12-04,4,f31df9c5-97e4-46fa-8c2f-6b9590487c57
3860,2020-05-05,1,1d94bfa3-8ad3-4b33-b6b1-21f47c32a8ff
4875,2020-12-05,5,7e786742-d5ef-42e7-9c14-4be62d003b9e
1587,2020-01-07,2,93d84fe3-5077-4554-958d-3c0455d8b90b
4038,2020-08-07,4,dce14cad-d2a6-433a-83bd-09a2f243b719
4750,2020-09-21,0,6d0e279e-862b-4bc8-86cf-4c9c208df50b
1199,2020-10-12,0,dfa1a917-240b-439c-80ff-f33a96cd244a
1603,2020-09-30,2,cf27ca66-2800-4db1-a1b8-bb109ac1f81e
3111,2020-01-31,5,c496d7e2-405c-482c-97b0-39496931ad30
3894,2020-12-13,6,a2c902dc-4d8a-4881-82d2-9f0e0637035a
1456,2020-09-18,4,4cb1e882-9330-4766-8990-13cd8c5041ee
2022,2020-04-03,4,1f564836-157c-4938-953a-c50469c39050
2505,2020-11-30,0,3349b5a8-9097-4717-a1d3-1cc4d5aa868a
4851,2020-12-20,6,3eca6913-0a5f-436c-abb7-7678819bd084
4293,2020-04-08,2,f19c72f1-d5e3-4ea9-98d4-6305a9e93e96
2775,2020-06-11,3,45c59724-3c30-43a2-8793-e1985f9414cf
3693,2020-02-18,2,cfd3276a-51b0-43f0-8081-ea45eae3d656
1202,2020-07-22,2,e330bfd5-27d7-4e43-b746-e26aa9df245a
3699,2020-08-23,6,2dca0997-87ef-4943-a3b6-b850a6d40f2b
4152,2020-04-15,2,fdead1de-4b72-4420-9829-dfe8d817c14d
4155,2020-01-26,0,2bc03abf-3469-4eee-ac08-e754ee9a09ba
4010,2020-12-29,1,56289736-500f-412e-b5b3-3f8860de9e2b
4389,2020-10-20,1,8debdbaf-e7f1-4e2c-bc0d-ca7a9e9c4869
3746,2020-08-17,0,2ba39ee6-91a0-40ef-b31d-2ff49c2d16b2
2560,2020-05-17,6,2d7bf323-8bb3-45f5-9e2c-a2c29a82404c
1503,2020-07-25,5,48045374-2376-4cce-a01a-20e7cecb2278
2555,2020-12-23,2,2f2edca5-f87d-4d20-abfb-a7f511941cd5
3645,2020-12-12,5,c815e3f1-cd0f-4122-9ede-cf794cf03cb6
3886,2020-11-09,0,07c64a44-bdde-4d16-a94d-35ab699c3304
2932,2020-03-20,4,7252bcb0-88d4-4afb-902f-0bd2c0793d03
1711,2020-06-18,3,04bbe0e4-0921-4662-82a3-3836aa6133d9
4291,2020-08-12,2,594a4868-ab79-45f6-babb-1284176b1692
1143,2020-04-25,5,567a1472-2fb1-48aa-aef1-6684e5b7ac7a
