purchase_id,category
f4bc7e1d-c685-47fd-ab40-8bec5646443c,tropical fruit
fd9a9e25-b778-4d49-ad5d-e0ba69185b9f,whole milk
3debee1f-f040-4025-a14d-e41184998edd,pip fruit
773936c9-e3d6-4599-856e-fc95cce3dabe,other vegetables
7618f3e4-1480-43dc-a4e0-003a947ade28,whole milk
d63b67ed-3525-43bd-86c6-fb1faf8ea6d3,rolls/buns
9c0e58d8-a2bf-4a9f-98b8-4fc2d3d7e565,other vegetables
3814d17c-8977-4077-b39c-ffd3e0803c68,pot plants
5d2d9004-1f0d-4dfb-a72e-a198e47c7070,whole milk
efc74608-263d-4234-ac94-93febd2902dc,tropical fruit
cb8238ca-aadc-4322-a683-9cae739fe48d,citrus fruit
3857d73d-e50e-4c63-b15f-487b22cea061,beef
d0267d33-07e0-44fe-8025-04bdf4774986,frankfurter
8cc139ef-51e4-4792-a8ab-abf28d762b85,chicken
2706a445-5485-4766-acc1-92e59f4ca024,butter
825a5584-891c-494f-b884-4fea1637d7bd,fruit/vegetable juice
5b6ffd47-e9b2-4914-a516-0ef8e6c2ac1f,packaged fruit/vegetables
cec9e270-7c4d-45c2-a6de-401bbd392a58,chocolate
9e5392c8-eaa6-4b44-a80d-9468b4cbe4d6,specialty bar
95f108e4-0b9f-4b1c-937a-e47880e2404c,other vegetables
efb589e4-0ecb-485d-857d-f7e50c446bec,butter milk
f143a0b0-ed0d-47b0-bfab-5f5141d544b2,whole milk
818970e8-6049-4d30-877b-50c3b1c1e28d,tropical fruit
388bd9ce-7577-4731-b9bb-2d0e0b47807d,tropical fruit
aaec5f88-6f49-43e1-bc97-add8a58e8c2f,bottled water
d9f8d4b4-a60b-43a6-8f26-7b7db5ba2328,yogurt
efc9289f-2fd6-4f10-908b-3cf80015fe97,sausage
096c8020-fc84-479f-ac0f-cc1001ac3203,other vegetables
d7733257-d9ee-476e-ad1d-3fc01f147eb5,brown bread
f5ab1564-01b8-4632-b49e-0082739506d5,yogurt
d86b68d6-394d-4027-a2a0-8798fec4d8ff,hamburger meat
2e14b6c2-4e26-4ad2-a04a-4c0422009c1a,root vegetables
6db047e1-99d7-4a42-afca-6084dc71dfc5,pork
efd73181-08ff-4f54-a3b1-e0ecd0a2f115,beef
d4adeec8-a1ac-410e-9a96-fa2266ba3bba,pastry
0c62c7cf-2745-432c-9a91-cb02c832e040,fruit/vegetable juice
e24cc6f4-9a4e-4516-ab85-a67298b86f9c,canned beer
8d591aad-9561-4e0c-8cf1-087b0c191b6a,root vegetables
accc760b-5a20-460a-8d34-9a4ae081fff0,citrus fruit
9bb56f46-d981-4d09-8f09-ee02e2cc427d,sausage
06e0d3ce-e76b-420f-8878-f915eee026e0,tropical fruit
b132d3c9-cc1d-4d60-a6d8-e9b646ab5856,berries
44050de3-209e-482e-831f-7f6fc1f6ff01,canned beer
e4ed9ff0-bf74-4b39-9e89-7ce4996a9ebe,butter milk
c910c835-ea61-4e0f-8eed-7143177c1ecf,coffee
c3e4b5c9-f887-4049-9739-868153010b23,pastry
4b8b3197-c4e8-455c-b4f7-b32fcf04a766,rolls/buns
4c5b840b-87dd-46cf-bb1b-777eb1396195,misc. beverages
8e67fba3-ebb8-4d70-8332-5ae1e61b8030,root vegetables
e6777390-fd08-43b1-b928-bba07f439800,sausage
a5ed45ed-ae80-4ee4-af28-3b66075d9579,canned beer
50ad54bd-e062-4c48-8b2d-13cd3a1c4cd8,ham
e98caec5-0da5-4d2a-b54b-5a4780d5e3ca,turkey
1df7b093-1be3-4a2c-a662-f68ff809462a,whole milk
1b64594e-b8ce-4467-a734-b0586a067a4c,whole milk
82a8dbda-ef79-41eb-aead-33cc9f85bcfa,packaged fruit/vegetables
b3903ac0-16fd-4e92-92b4-85ad7010623f,rolls/buns
d21afbb1-2c59-4966-8c67-e490c9f3794e,ham
2276d83f-d2c4-41ca-835b-21e4543cd3c2,rolls/buns
854130c7-9029-4215-8052-fb35a02ae9c6,other vegetables
2432a416-7b6c-4e30-bdc8-f0fb4bb0a988,sausage
43a1542f-c85d-43dd-bac0-86dfaf7eddb0,sausage
49fdc2c7-cd7f-4544-bd8e-63a0fdebbcdb,frankfurter
37a9c97e-3fe8-42be-92b4-90d23adbb170,rolls/buns
ff4df65a-1a28-419b-9b7c-ef6e293fef38,whole milk
a4aaa5da-5167-4ff8-a7b3-8e42da22874f,curd cheese
151da259-9939-44f9-b00d-fb5da34c72cb,red/blush wine
f7699b08-6c8b-4854-8c0e-251c09cc0552,sausage
fcf5d093-a611-41ee-86f2-2eaa2f7508ea,tropical fruit
31f13c9b-cc77-408e-80d9-94cc6fd5f69f,red/blush wine
711657c2-c809-4546-934c-6628210b986c,whole milk
f31df9c5-97e4-46fa-8c2f-6b9590487c57,frankfurter
1d94bfa3-8ad3-4b33-b6b1-21f47c32a8ff,whole milk
7e786742-d5ef-42e7-9c14-4be62d003b9e,frozen potato products
93d84fe3-5077-4554-958d-3c0455d8b90b,other vegetables
dce14cad-d2a6-433a-83bd-09a2f243b719,citrus fruit
6d0e279e-862b-4bc8-86cf-4c9c208df50b,flour
dfa1a917-240b-439c-80ff-f33a96cd244a,sugar
cf27ca66-2800-4db1-a1b8-bb109ac1f81e,frozen meals
c496d7e2-405c-482c-97b0-39496931ad30,chocolate
a2c902dc-4d8a-4881-82d2-9f0e0637035a,root vegetables
4cb1e882-9330-4766-8990-13cd8c5041ee,root vegetables
1f564836-157c-4938-953a-c50469c39050,herbs
3349b5a8-9097-4717-a1d3-1cc4d5aa868a,bottled water
3eca6913-0a5f-436c-abb7-7678819bd084,sausage
f19c72f1-d5e3-4ea9-98d4-6305a9e93e96,coffee
45c59724-3c30-43a2-8793-e1985f9414cf,pork
cfd3276a-51b0-43f0-8081-ea45eae3d656,berries
e330bfd5-27d7-4e43-b746-e26aa9df245a,soda
2dca0997-87ef-4943-a3b6-b850a6d40f2b,berries
fdead1de-4b72-4420-9829-dfe8d817c14d,fruit/vegetable juice
2bc03abf-3469-4eee-ac08-e754ee9a09ba,citrus fruit
56289736-500f-412e-b5b3-3f8860de9e2b,pork
8debdbaf-e7f1-4e2c-bc0d-ca7a9e9c4869,detergent
2ba39ee6-91a0-40ef-b31d-2ff49c2d16b2,grapes
2d7bf323-8bb3-45f5-9e2c-a2c29a82404c,sausage
48045374-2376-4cce-a01a-20e7cecb2278,chicken
2f2edca5-f87d-4d20-abfb-a7f511941cd5,whole milk
c815e3f1-cd0f-4122-9ede-cf794cf03cb6,citrus fruit
07c64a44-bdde-4d16-a94d-35ab699c3304,soda
7252bcb0-88d4-4afb-902f-0bd2c0793d03,sausage
04bbe0e4-0921-4662-82a3-3836aa6133d9,frankfurter
594a4868-ab79-45f6-babb-1284176b1692,sausage
567a1472-2fb1-48aa-aef1-6684e5b7ac7a,soda
d045e64b-978e-4653-9dc4-b6f80179c765,rolls/buns
87bbc24e-36aa-4aff-b9b5-325dc959dcf4,beef
552b55be-d549-49a2-bcb9-582902d7f32d,whole milk
33ac6cb5-3f89-4854-af20-e08e71a9be7c,processed cheese
dd23f97f-dfc0-4b62-845c-c3c869538ef4,tropical fruit
7bf54d7c-e0c2-40be-aa45-ce25289c4b6e,frankfurter
ca39319d-616e-4910-9f7c-4d69d3132975,packaged fruit/vegetables
f3c7c2af-4410-4c4e-bde6-e40fcd3d8354,whole milk
37b7d04b-d156-4516-9b84-5ae56b39cef5,berries
f35d93a3-caf4-43d3-a225-83f30f56f572,citrus fruit
fa367036-67b0-43d6-8d42-f5248d11dd74,tropical fruit
03ff56fe-514a-44c9-ace7-64b2aebf8eb9,hamburger meat
cadbf1b0-a08c-4c4e-991f-24271ee93e53,hamburger meat
7b6c847c-e4bf-468c-8b3d-4e5be507cb5f,whole milk
c8cd1b22-f41b-4285-8dda-5d0be1efd0b1,fish
fe09c569-bcfd-43ac-9b25-d3e08a71cbf1,frankfurter
45e64952-835d-4fe3-8fb4-7132ce85e9d0,packaged fruit/vegetables
c9535df7-3e50-40f4-bfe4-b774ff8f1259,pastry
ab22d5b8-4329-4942-b1d7-0ab3fd28df8f,other vegetables
94881a5a-d7db-43fe-929f-76859c7851b0,misc. beverages
05e07298-e482-4a05-8b98-e71c6278de04,frankfurter
09b3923b-d5a8-4763-a3c3-7a905bd8dfed,sparkling wine
3989eb42-00ad-485f-ad49-aeac50852e8c,specialty bar
2ecd7a7e-bb54-48ac-baf2-3997bba651fd,sausage
fb1d4b17-4edd-4258-b19f-acc0307321b1,curd cheese
1936523c-8b1c-414e-a90b-fbc31e131fac,frankfurter
ad8c9bd6-365d-4e37-b2fd-fd542b0ff045,whole milk
2fefc725-cd0c-4900-9d95-b95b74647e2d,newspapers
b694c4cf-d2d3-4826-9ebc-28678a3f3287,berries
01438634-6a95-468b-bed6-78322b2368fe,curd
8c382efb-a201-4818-9e0b-12838af9600b,tropical fruit
125d7b71-f5cc-44cb-bc64-f5cbbdecb4ee,soda
512963d6-9ece-46c1-8196-77c323783cc6,rolls/buns
dc5a3889-48e3-4988-9d6e-dc49cfd8bac2,canned beer
7d20ad24-a26c-41c0-932c-f5fb5088afd6,canned beer
5051312a-9e2c-449f-b79b-a47ed29558e7,frankfurter
40f51967-67ce-450a-aa36-a8cc276a6d2d,other vegetables
67c8a4dd-81ec-4141-9aad-92ad98c05e7a,whole milk
a3488033-473c-4979-8965-c6646b732a97,whole milk
e98912b6-8203-4fee-9112-9f3be7e1c8e1,citrus fruit
3706c523-f76b-476a-9b7d-8f83ea9d9320,frankfurter
77bde9db-43ac-4752-afac-53e47a3f3bd3,frankfurter
0db9d2e7-3a27-4321-a92b-96449778bcd3,butter milk
b5abef15-658d-4d17-a8d7-834ba814d047,hamburger meat
2719fa07-d3bc-4e0e-ae85-c4147b935cc1,pasta
ad528327-3088-415a-9fbc-bf3b90ff47a4,other vegetables
47b5fb80-95e3-4566-81d3-6468e65743a6,sausage
5d8b2a67-ddf8-46fe-9884-d49760a54864,rolls/buns
86d27def-9fa1-4255-94a4-0130fee9794a,grapes
ca77d3a1-2b26-42b2-b0d4-91a090f1ebce,root vegetables
f3f35025-9c3f-497e-bb9e-967d2cfeaf76,coffee
ef0fb39d-3318-455c-a434-f48f8b8703de,popcorn
54163f90-3992-4009-84cc-4ab20158c922,whole milk
02cc9974-6c9f-4778-a5f0-f748a7cf00c1,tropical fruit
13a38a03-b624-434c-8706-797cd2d778cf,beef
665b5a7d-c1c5-4a50-9db6-397cbac9be0d,whole milk
c0780e29-12b3-4063-8398-3f2e1449a1d0,frankfurter
0f3cb6e3-dd6b-4618-a947-320e426c0d9b,tropical fruit
e21845f7-0c09-452a-95f0-222e840c3036,canned beer
f3c76499-34ba-4a1c-8c4f-5fa679f79fb0,finished products
1e847372-547b-40ba-821e-96ea481eb77d,beverages
14786540-c272-47df-a9fc-a564942d92c0,hamburger meat
e2bf1489-96cf-4d0b-ba38-91a25414c846,whole milk
bc55725d-1335-49bc-a1a9-a0934c91f2ca,finished products
c12b79c1-6988-4137-a927-2e98c88e9864,other vegetables
4264cb8e-1793-48f0-ab05-bd5cceacb075,ham
3f515cd9-9956-4203-9894-7c89e5852f5c,other vegetables
3408291d-031a-4b17-90e7-c6486987d3f3,curd
db054eff-3b3e-4005-a53c-788aac5c8ff9,bottled beer
4c92c7e0-4a28-404c-b5dc-b0a4f4cc2272,curd
995fada2-2630-4b13-aac7-97f820b738dc,whole milk
4bad4c1d-6f68-4041-abf5-10f2a79a3af2,whole milk
f44fbce9-a692-4d5e-9061-7a12b8e324d9,dessert
e6ee0db5-896d-4e88-bcbc-16fba025dece,sausage
1631fc22-c88c-4d1d-ae9a-a1ce9c9eca79,other vegetables
d3c32e4a-db08-4c75-ad33-7c1b4b2cfb73,ham
4fc16863-6b91-4620-a287-6881b6c568b1,other vegetables
0daf3faa-bda8-4464-a4bf-739b3bceefae,other vegetables
35f373ed-c5e2-467b-8a0c-8e075e8313d3,soda
9481174f-a231-4a39-8432-19df8f1c4482,herbs
34722829-5652-48a8-9b8f-662548a40df1,frankfurter
17d1003d-34e1-4b51-9d59-ff2ab62499cd,rolls/buns
f8d5d503-4bad-4ccc-96ba-d94e2ebd1079,curd
531883fb-6d35-490d-a374-2b3dbfd4784d,frankfurter
2656de8d-3429-4ec4-aab9-f92cb5872008,other vegetables
ee7108ba-f545-49c8-b308-52c89f3925da,dog food
eed753f0-1f20-41b8-9b4a-e8d39526a5d3,specialty bar
0dee79cb-3e57-43c4-a93c-3d66d069d013,curd
bcc808f1-6022-4b2f-84dc-eb5910041e65,frankfurter
48bf0d0f-67d9-46f2-8efb-c0648b642c93,soda
a6dd10b2-93f7-4c47-806f-a428789756d8,beef
728ac807-fbba-460c-9ab7-b8ade3ad1ef2,canned beer
65779242-71de-4c50-863b-f5643ece5e2a,pork
40bdfaed-5aae-4360-a90c-9026846df434,frankfurter
08c8a082-04d7-48d7-9eb1-64206b7e8202,sausage
b05b0600-7628-4826-a932-84b108f04ed9,canned beer
53c9ad06-e6dc-4b66-851d-62f1bf9d1424,specialty chocolate
458775f9-a9ac-4d57-8f4f-3a2d50da51c3,curd
668c17ae-4572-45e4-b7c4-679812c756f9,canned beer
d990ab9c-999c-4205-8ae9-cedf81742243,whole milk
923a4d1e-5add-4110-ac7f-9fc8a9115680,rolls/buns
d5c32322-37fe-463a-897a-2e4633bba02c,pork
8db5991d-a721-416c-81b1-8cff8b26c6f1,citrus fruit
8b3c72e4-f07c-4fa8-9bba-52c2b7346845,pot plants
6b121d7e-5c0c-4c55-8e7c-f707be4f5667,rolls/buns
5ae37628-bef1-433b-b780-a9f5f282ee79,butter
1c0b7701-d9c9-4fce-b512-816cb2cc597b,condensed milk
571a0703-0e84-4f5b-901f-3dcc093c24a4,sausage
bd27b8b2-5d65-457b-b564-c6f3a37ba894,whole milk
02b0744d-5876-4908-b856-27ea83cf568b,sausage
f187e4ec-d30e-458c-ada5-2bc87d65c374,beverages
87735885-686d-42ac-8c40-d6eae66f9d7d,beverages
69cfa01d-170a-4d62-87c4-10e7b3750950,bottled water
58f5aa77-2ecd-4ac2-8fd6-c95cc4b007cd,newspapers
929c3121-491f-4514-820c-24da04df64b4,cleaner
9b537b62-8db0-4140-8f91-e9c4ba9e36d2,sausage
aed3d427-c67e-4f92-87bf-a1de307cdd81,newspapers
c5681bcd-5911-4e09-af45-7fceb4f0a842,sausage
f48ac30d-b510-4d77-af60-1d589a9dbcb2,misc. beverages
c477f3d4-7f7e-4af5-8b89-2d74f69126c1,white wine
068ec24b-4978-49e3-bd03-b78dfdbd5eb8,sausage
c6d6f451-9439-4c0b-93bf-dcb34c0bc308,meat
e5d54590-bf1f-4145-9227-74d59013d6fe,frankfurter
ca7eeff8-2f9a-4006-b971-424bd3ee80b5,ice cream
08e22077-26bb-4fff-9726-02109200a5d4,canned beer
5b25bcad-92b3-4ae6-9c3c-471fcd95f753,tropical fruit
77f85e92-1bf6-4ee0-9a9a-6dcdfe635954,meat
f6171b81-6f11-49da-b274-2f0ba4ef9b77,whole milk
d2626e19-0d2b-4436-9857-a80c822fba5a,sausage
0ca600b6-503a-43c9-87af-9bdc5f62454d,frankfurter
0fcda63a-9d7a-4ce8-818b-94c3d94f7233,meat
040dc1d1-300d-45d9-bc7a-ed850b0114b7,root vegetables
9969723c-a1c1-4a18-abcc-4368e828ab38,root vegetables
1bc77795-880a-4750-ac2b-061c4b92f2d2,whole milk
91666bc5-c2f7-4c90-b19f-154624b3475b,citrus fruit
b286d63e-af0b-43ab-9554-f92b32d99584,citrus fruit
0852ec0c-89da-49ac-b0e9-929dc187f3b6,other vegetables
93a85a52-75a1-4d52-8e32-3fbee0a26e1f,citrus fruit
ae4ce57f-2bed-4344-8a6f-66993ebe06fe,sausage
7955ae5c-662b-457a-8b1a-455dd9ced64c,frankfurter
e5916ea4-da02-4b85-9563-83be7c24cc3a,hard cheese
0a46d0ff-be71-43ff-b5f4-eedea38fb984,cream cheese 
fb3179df-6d89-48f5-81f4-c6179992dc3f,turkey
17043bfb-2ed0-45e7-ab91-9d031dbbe95c,pork
f6080163-4163-40da-a3b8-14a61c08d729,whole milk
cb8b5d5c-2ca1-4b6e-9679-9e9313243ba7,rolls/buns
5f220ed3-46a1-488b-8856-b37eb98a8a34,sausage
ede1ffeb-90e6-4fbf-89cd-d4365ffaa918,ice cream
57c6aa01-9c0c-4791-9e14-547219782d13,liquor
260ad66e-1823-4b43-a5b6-60fde00ae6b0,pip fruit
00afca94-49d5-4fdd-97f2-2356b9f844c3,root vegetables
36b8817e-f6ea-4612-a968-cfb5f1e4eaf9,soda
872b04ad-617b-420a-9798-4a1066305ccb,soda
59c219af-519b-49cf-8059-58c4856710fe,sausage
719ab9b9-e244-4446-8f92-dd2a7c9d3190,root vegetables
3ae1795b-0929-4c38-950c-603caa7da42c,pork
ec734a9b-faab-4c92-b30e-338c614a1fab,pork
3c427897-dd9d-4deb-8ff9-b630c516021c,chocolate
746c6403-0568-44e8-b1fc-6f28e4cc4ac3,fruit/vegetable juice
cb97dfaa-c25d-4d96-bd0e-1170d23c4a74,pickled vegetables
dcb8504a-855a-44f7-8f2f-ebb01889d361,bottled water
26d2ff3c-6d6f-4a1f-9fc6-51b8014bdc8c,frankfurter
353a1918-5ef6-41ba-84f9-7dcf47262302,tropical fruit
abfb3c20-ff02-4e3f-b353-4bc4aa21c8ad,canned beer
cee8681a-c10a-41bb-b0d6-5b0e99fefe75,root vegetables
6769f038-249d-4d33-b163-30d8cb94951c,meat
3fab572b-2998-474c-8fe1-1b948fb65d59,frankfurter
eca6dbaa-3e21-4e61-a351-0ff988100bd8,tropical fruit
a799b1cb-397e-4a1e-b8e5-a582779a8ab1,tropical fruit
879327c4-3f30-41cc-8e72-b5d14b7816bf,citrus fruit
0ae963ac-8fd5-456f-8138-0c1f3557e5a8,hamburger meat
15c8c490-9863-4228-bbce-ac2647c60104,chicken
973f035e-bc47-4d5f-9ac4-8cc8d78776bb,chicken
fdc1b5a5-67e9-4756-9973-008c479d960f,frankfurter
ed12e0a0-4074-43cb-b617-e2a4ab47f385,canned beer
a0abd5a5-63e0-4865-b770-ba6d53c6434e,turkey
404b27ef-ab64-49ac-a75e-0e3beec557fd,packaged fruit/vegetables
e598755a-ba01-4c10-a936-b1d6b2d1ea7b,pasta
84dbd964-8a03-4179-a46b-027577538f05,citrus fruit
527e8efe-19d4-46cb-9770-2fd7c88881c9,sausage
4254e770-319f-400f-895a-2a00e6a225ca,whole milk
2a48efff-8125-44eb-83a2-ebcefbc0a0aa,canned beer
d5a734fa-c33a-4678-969e-e7b4b5d3f780,citrus fruit
286a0629-9691-41c9-982f-3281cf2e25ce,liquor (appetizer)
6c4293f5-60a9-47da-82b3-68c6d02610ce,citrus fruit
d9c2d83f-3e6c-4640-b406-7ee907bb92d5,sausage
97561630-d83e-4ff4-8cac-159e9c88cdf0,chicken
f9c14f9c-d6bc-4d1a-b86e-8db38bf52907,hamburger meat
1d45f6c2-ce9d-40b8-a0b7-c29679f3519b,sausage
c554271b-6455-4681-a9ef-525ed0168dc6,beef
